question,answer
"Aeroplane, Helicopter, Ship, Jet",Ship
What is the full form of RBI? a) Reputed Bank of India b) Reserve Bank of India c) Recovery Bank of India d) Reduced Bank of India,B. Reserve Bank of India
How many sides are there in a triangle?,Three
Name the acid present in apple,Malic acid
 What is the sound made by a duck?,Quack quack
The largest ‘Democracy’ in the world?,India
What is the young one of a cow called?,Calf
Name a bird that can fly backwards?,Humming bird
Which planet is known as the “blue planet”?,Earth
"Dispur, Pune, Patna, Shimla",Pune
How many colours are there in a rainbow?,7
Which country has hosted Commonwealth Games for the maximum number of times?,Canada
Tokyo is the capital of which country?,Japan
Any number multiplied by zero is ________.,Zero
"Hen, Dove, Pigeon, Cat",Cat
A leap year has _____ days.,366
Which shape has all four of its sides equal?,Square
What is sun?,Sun is a big ball of fire.
Which day is observed as World Environment Day?,June 5
World Environment Day is celebrated on _.,June 5
A sneeze is faster than the blink of an eye. True or False?,TRUE
Who is the author of Harry Potter series of books?,J.K. Rowling
Which is the hottest continent on Earth?,Africa
Which is the highest civilian award of the Republic of India?,The Bharat Ratna Award
Where is the headquarters of UNESCO located?,"Paris, France"
Who is known as the father of modern computers?,Charles Babbage
How many months of the year have 31 days?,"7 (January, March, May, July, August, October and December)"
A pig lives in a _____.,Sty
1024 kilobytes is equal to _.,1 Megabyte(MB)
Animals that eat meat are called _________.,Carnivores
How many people are there in the world?,Over 7 billion
What is the theme for World Wildlife Day 2022?,Recovering key species for ecosystem restoration
Name the instrument used to measure atmospheric pressure,Barometer
________________ is known as “antisterility vitamin”?,Vitamin E
Name the largest island in the world?,Greenland
A newborn baby has _______ bones.,300
A football team consists of how many members?,11
Which is the densest jungle in the world?,Amazon
A year has ___ weeks.,52
What type of bird lays the largest eggs?,Ostrich
Which is the deepest lake in the world?,Lake Baikal
Name an insect with colourful wings?,Butterfly
Durand Cup is related to which sport?,Football
What is the name of the biggest rain forest in the world?,The Amazon
Who invented the telephone?,Alexander Graham Bell
Name the shape with seven sides?,Heptagon
Taste of sugar is _______.,Sweet
Name the planet in our solar system with the most number of moons?,Saturn
Giza Pyramids situated in which country?,Egypt
What do you call a house made of ice?,Igloo
What is the job of a Doctor?,A Doctor treats sick people.
What is the shape of a cricket field?,Circle
Equilateral polygons have all ______ equal.,Sides
Who was the winner of Football World Cup in 2010?,Spain
What is the name of the sword owned by King Arthur?,Excaliber
Who invented light bulb?,Thomas Alva Edison
How many players are there in an ice hockey team?,Six
Who is known as the “Father of Indian Space Program”?,Vikram Sarabhai
_____ What is the full form of CPU?,Central Processing Unit
"Where is world’s tallest building, Burj Khalifa, located?","Dubai, UAE"
How many states are there in India? a) 27 b) 28 c) 29 d) 30,B. 29
What is the capital of Finland?,Helsinki
The place where beehives of honeybees are kept is called?,Apiary
What is the capital of Denmark?,Copenhagen
What is the position of Earth in our Solar system? a) First b) Second c) Third d) Fourth,C. Third
Which bird has a far sight and turns its head all the way round?,Owl
Which is the world’s largest coral reef system?,The Great Barrier Reef
Which is the slowest moving animal on Earth?,The three-toed sloth
Who is the inventor of Television?,John Logie Baird
Frogs have to drink lots of water. True or False?,FALSE
How many days are there in a Leap Year?,366
Identify the Historical monument,Charminar
What is HCl?,Hydrochloric acid
Some animals can get sunburn. True or False?,"True (Animals like dogs, cats and cows can get sunburns at the tip of their noses and ears)."
Which continent invests the most in solar power?,Asia
Which country gifted The Statue of Liberty to the United States?,France
Which part of the computer is its Brain?,CPU
What covers approximately 71% of the Earth’s surface: Land or water?,Water
4 times 8 equals ___________.,32
Who is the author of ‘Wings of Fire’?,A.P.J. Abdul Kalam
Who was the first woman to go to space?,Valentina Tereshkova
What is the name of the process where excess water in plants gets released?,Transpiration
Where is leaning tower of Pisa located?,Italy
Which Indian state was the first to introduce the “Oak Tussar Industry”?,Manipur
What does the “SIM” in the SIM card stand for?,Subscriber Identity Module
How many days are there in the month of February in a leap year?,29 days
Name the longest river on earth.,Nile
Which is the largest country in the world?,Russia (By area)
How many years are there in a century?,One Hundred
Name the shape with three sides?,Triangle
Who is the author of “Julius Caesar”? a) William Shakespeare b) Geoffrey Chaucer c) John Milton d) Sylvia Plath,A. William Shakespeare
Which day is observed as International Literacy Day?,September 8
Which is the tallest waterfall in the world?,Angel Falls
Which animal has fingerprints similar to that of humans?,Koala
Which is the largest continent in the world?,Asia
Which bird is the universal symbol of Peace? a) Pigeon b) Dove c) Peacock d) Pelican,B. Dove
How many consonants are there in the English alphabet?,73
Which mineral is found in teeth?,"Calcium
"
The fastest animal on earth is?,Cheetah
Who discovered Aeroplane? a) Wright Brothers b) Steve Waugh c) Albert Einstein d) Stephen Hawking,A. Wright Brothers
The brain of a computer is _.,CPU
Who is the father of our Nation?,Mahatma Gandhi
WWW stands for?,World Wide Web
Young one of a horse is called?,Foal
How many minutes are there in an hour?,60
February has _____ days in a leap year.,29
What is an angle that has a value less than 90˚ called?,Acute angle
What is the place value of 4 in 654?,Ones
What is the name of the supercomputer placed at Indian Institute of Tropical Meteorology (IITM)?,Pratyush
Which festival is known as the festival of colors?,Holi
Which animal is known as the ‘Ship of the Desert?’,Camel
 How many cats can you see in this picture?,10 cats
Which animal gives us wool?,Sheep
Who is the father of Economics?,Adam Smith
Which African country is famous for chocolate?,Ghana
What is the young one of a kangaroo called?,Joey
English alphabets have ____ consonants.,21
In which year Olympic Games were cancelled because of World War I?,1916
What causes Anemia? a) By the deficiency of Iron b) By the deficiency of Iodine c) By the deficiency of Vitamin D d) By the deficiency Calcium,A. By the deficiency of Iron
Which planet in our solar system takes less than 10 hours to complete its one rotation?,Jupiter
Which of the following is not a component of chlorophyll?  a) Magnesium b)  Carbon c) Calcium d) None of These,C. Calcium
Where do you go when you are sick?,Hospital
Computer was invented by _______.,Charles Babbage
Which animal is called King of Jungle?,Lion
Which animal eats mice?,20
How many zeros are there in one hundred thousand?,Five
Our solar system has ______ planets.,8
Caddie is related to __________,Golf
Name the scientist who discovered gravity?,Sir Isaac Newton
Who won the 2022 International Women of Courage Award?,Rizwana Hassan
Which day is celebrated as World Consumer Rights Day?,March 15
Statue of liberty is situated in which city?,New York
What is a house made of snow called?,Igloo
The wheel in the center of Indian national flag has _____ spokes.,24
In which year did Mahatma Gandhi start Dandi March?,1930
Taj Mahal is situated on the banks of which river?,Yamuna
Which state in India is known as “God’s Own Country”?,Kerala
How many vowels are there in the English alphabet?,5
What is the name of the Greek God of music?,Apollo
What is the process in which plants make food known as?,Photosynthesis
Olympic Games of which year were cancelled due to World War I?,1916
How many oceans are there in the world?,7
Cheese is made from _______.,Milk
Where does fish live?,In Water
Opium is obtained from the dry latex from which part of the Papaver somniferum Plant?,Poppy
Name the instrument used to measure the speed of wind?,Anemometer
The Statue of Liberty is located in which city?,"New York, USA"
"Coffee Powder, Chili Powder, Tea Powder, Green Tea Powder",Chilli Powder
Which is the largest plateau in the world?,Tibetan Plateau
How many millimeters make a meter?.,1000
What is the speed of light in vacuum?,"3,00,000 km/sec"
What is the full form of bit?,Binary digit
What is the color of human blood?,Red
How many equal sides does an isosceles triangle have?,2
_________ animals sleep during the day and stay awake at night.,Nocturnal animals
Which is the smallest bird in the world?,Humming bird
What is the color of Mango?,Yellow
"Name the story in which a young girl falls through a rabbit hole, goes to a fantasy world and meets many strange characters?",Alice’s Adventures in Wonderland
Which is the lightest gas?,Hydrogen
What is the scientific name of tomato?,Solanum lycopersicum
Name the day that comes after Tuesday?,Wednesday
Which language is used by the computer to process data?,Binary language
Which is the highest mountain peak of India?,Kanchenjunga
Sharks are color blind. True or False?,FALSE
Bhagat Singh is a Freedom fighter of India. True or False?,TRUE
Which is the first odd composite number?,33
A goat has ______ legs.,4
A cow has ____ legs.,4
How many days do we have in a week?,Seven
What is the common name of Sodium Carbonate?,Washing Soda
Who wrote the book “Chronicles of Narnia”?,C.S. Lewis
Ryder Cup is related to which sport?,Golf
How many members are there in a Water Polo team?,7
Which animal is known as the ship of the desert?,Camel
Washington DC is the capital of China. True or False?,False (Beijing is the capital of China)
Which colour symbolizes peace?,White
Birth anniversary of Sardar Vallabhbhai Patel is observed as?,National Unity Day (Rashtriya Ekta Divas)
Whales have belly buttons. True or False?,TRUE
What is the movement of Earth on its own axis resulting in day and night called?,Rotation
Total Olympic medals won by India in 2012,Six
How many bones does an adult human body have?,206
Which galaxy does solar system belong to?,Milky Way
Which is the smallest continent in the world?,Australia
Penicillin was invented by ________.,Alexander Fleming
A shape with six sides is called ________.,Hexagon
How many wheels does a cycle have?,Two
What is Phycology?,Study of Algae
"P J  Abdul Kalaam, C V  Raman, Issac Newton, William Shakespeare",William Shakespeare
In which year did India win the first Cricket World Cup?,1983
Which blood group is known as “universal donor”?,O+
What is the theme of World Meteorological Day 2022?,Early Warning and Early Action
Name the device that provides power to the connected devices of a computer during power outages?,Uninterrupted Power Supply (UPS)
Earth’s atmosphere has ____ layers.,5
Name the fairy tale character with long golden hair trapped in a tower?,Rapunzel
What is the capital of Italy?,Rome
Identify the Tree,A. Coconut Tree
 How do you relate to your maternal grandfather?,Mother’s father
How many fingers are there in your hands?,D. Ten
The doctor who takes care of our teeth is called ________.,Dentist
Which day is observed as World Literacy Day?,September 8
What does a caterpillar turn into?,Butterfly
A spider has _____ legs.,Eight
Which is the tallest animal in the world?,Giraffe
Which state is known as the Orchid Paradise of India?,Arunachal Pradesh
There are ____ months in a year.,12
Which all animals give us milk?,"Cow, goat and buffalo"
Which is the device used to locate submerged objects under sea?,SONAR
Who is the founder of Chola Dynasty?,Vijayalaya
An ostrich’s eye is bigger than its brain. True or False?,TRUE
Vienna is the capital of which country?,Austria
Which country is home to the kangaroo?,Australia
When is World Heritage Day celebrated?,April 18
Home of a pig is called ______.,Sty
Which is the biggest coral reef in the world?,Great Barrier Reef
Which is the smallest state in India?,Goa
Which magic word do you use when someone helps you?,Thank you
What kind of clothes do we wear during winter?,Woollen clothes
Which blood cells do not have a nucleus?,Blood platelets
"Respiration, Digestion, Excretion, Photosynthesis",Photosynthesis
Dodo is an endangered bird. True or False?,False (Dodo is an extinct bird)
Who is known as the father of history?,Herodotus
Which gas is most abundant in the earth’s atmosphere?,Nitrogen
Which planet do we live on?,Earth
What is the cube root of 27?,3
"Cow, Lion, Dog, Cat",Lion
Which is the most abundant gas found on Earth?,Nitrogen
 Who was the first Prime Minister of India?,Jawaharlal Nehru
Who was the first President of India?,Dr Rajendra Prasad
What food does a cow eat?,Grass
Which festival is known as the ‘Festival of flowers’?,Onam
What is the weight of a cricket ball?,5.75 ounces
Why are the leaves green in color?,Due to the presence of Chlorophyll
Which is the largest lake in Japan?,Biwa
 The young one of a kangaroo is,Joey
Which protein is a fingernail made of?,Keratin
Which planet is known as the Red Planet?,Mars
What is the capital city of Peru? a) Lima b) Rome c) Los Angeles d) Prague,A. Lima
Which part of the plant is brown and below the ground?,Roots
How many seconds are there in a day?,86400
Study of the universe is called?,Cosmology
In which year did Christopher Columbus discover America?,1492
October,"Our Planet, Our Health"
"Vitamin A, Vitamin B, Vitamin D, Vitamin K",Vitamin B
We wear a watch on our _______.,Wrist
Where will the 2024 Olympics be held?,Paris
What is the top color in a rainbow?,Red
June 5 is celebrated as Environment Day. True or False?,TRUE
Which means of transport do you use in water?,Ship
Which animal has black and white stripes on its body?,Zebra
A decagon has _______ sides.,10
What is the capital of United Arab Emirates (UAE)?,Abu Dhabi
What is the young one of a cat called?,Kitten
William Shakespeare is a scientist. True or False?,False (He is a dramatist)
Which planet is known as Earth’s Twin?,Venus
Who is a “Chef”? a) A person who drives a car b) A person who cooks food c) A person who acts d) A person who treats patients,B. A person who cooks food
Your father’s brother is your _________.,Uncle
Who is Paulo Coelho?,Brazilian Novelist
Which gas is known as “Laughing gas”?,Nitrous Oxide
Whose birthday is celebrated as “Engineer’s Day” in India?,Sir M Visvesaraya
What is the full form of ROM?,Read-Only Memory
What is the full form of RAM?,Random Access Memory
Identify the scientist.,Albert Einstein
What is Light year?,It is the unit of distance
How many players are there in a cricket team?,11
Who discovered X-Rays?,Wilhelm Conrad Roentgen
How many digits are there in Mathematics? a) Hundred b) Thousand c) Billion d) Infinite,D. Infinite
Who was known as “Indian Napolean”?,Samudragupta
What is the person who compiles a dictionary called? a) Lexicographer b) Editor c) Compiler d) Director,A. Lexicographer
Which festival is called the festival of light?,Diwali
Which is the highest mountain peak in the world?,Mount Everest
Which place is known as the roof of the world?,Tibet
The ceiling of Sistine Chapel has frescos painted by which famous painter?,Michelangelo
Ozone layer is in which layer of the atmosphere?,Stratosphere
Name three vegetables that grow under soil.,"Potato, Tapioca and Ginger"
Which is the national bird of the USA?,Bald Eagle
Which is the fastest bird in the world?,Ostrich
Kangaroos have _____ to carry their young ones.,Pouches
The largest continent is _.,Asia
When is national sports day of India celebrated?,August 22
Which are the colors in a rainbow?,"Violet, Indigo, Blue, Green, Yellow, Orange, Red"
When is UN day celebrated?,October 24
Which is the largest four-digit number?,9999
_____ is a flying mammal.,Bat
A century has ____ years.,100
The only driver in Indian Grand Prix 2011 is,Alice Powell
Which continent is known as ‘Dark’ continent?,Africa
Golfer Vijay Singh belongs to which country?,Fiji
What is the currency of UK?,Pound Sterling
Which star is closest to the Earth?,The Sun
Who authored the renowned novel “The Godfather”?,Mario Puzo
Name the capital of Kingdom of Bahrain?,Manama
What does Big Bang Theory explain?,Origin of Universe
Solve 27*0,Zero (Any number multiplied by zero gives zero as the answer)
Who is popularly known as the Napolean of India?,Samudragupta
Which country is known as the Pearl of the Orient Seas?,"Philippines
"
The animals that eat only plants and herbs are called ____________.,Herbivores
Who was nicknamed the “Little Corporal”?,Napolean Bonaparte
How many sides does the base of a pyramid have?,4
Which is the biggest bird in the world?,Ostrich
RAM is located in which part of the computer?,Mother board
What is the value of Pie? a) 14 b) 916 c) 13 d) 34,A. 3.14 (22/7)
Who discovered Penicillin?,Alexander Fleming
"Throat, Tongue, Nose, Ears",Throat
Which is the brightest planet in the solar system?,Venus
What is the capital of Armenia?,Yerevan
"The famous novel, Alice in Wonderland, was written by?",Lewis Carroll
Mark Zuckerburg is the father of modern computers. True or False?,False (Charles Babbage is the father of modern computers)
When was women’s and men’s doubles introduced in Wimbledon?,1884
The smallest bone in the human body is __________,Stapes (located in the ear)
Who is the first woman to go to space?,Valentina Tereshkova
 What is the name of this famous painting?,Mona Lisa
 Who is the first citizen of India?,President of India
Which country awards Nobel Prize?,Sweden
Camels store water in their humps. True or False?,TRUE
Which is the most common non-contagious disease in the world?,Tooth Decay
"Noun, Pronoun, Articles, Adverb",Articles
 Name this famous Indian Cricketer.,Sachin Tendulkar
Which is the hardest substance on the human body?,Tooth enamel
How many players are there in each side of a Basket Ball team?,5
Mount Aconcagua is located in which mountain ranges?,Andes
At which temperature does water boil?,100◦C
Which are the vowels in the English alphabet series?,"A, E, I, O, U"
A raindrop is of which geometric shape?,Sphere
Which is the fastest animal on the land?,Cheetah
What is an angle that has a value greater than 90˚ called?,Obtuse angle
Name a cunning animal?,Fox
Which magic word do you use while asking for something?,Please
Who formulated the theory of relativity?,Albert Einstein
Who invented telescope?,Galileo Galilei
The branch of science that deals with earthquakes is called ___________,Seismology
There are a total of _____ time zones in the world.,24
When did the Internet come into existence?,"January 1, 1983"
Name the shape with five sides?,Pentagon
Which is the largest desert in India?,Thar desert
Name the vehicle used by firemen?,Fire engine
 Which is the national sport of India?,Hockey
"Hydrogen, Hypochlorite, Helium, Lithium",Hypochlorite
What is the square root of 144?,12
Which scientist developed the Theory of Relativity?,Albert Einstein
When was the first modern Olympics held?,"1896 (in Athens, Greece)"
What is the chemical name of Vitamin C?,Ascorbic acid
How many years did the Second World War (WWII) last?,Six (1939-1945)
"Asia, Europe, China, Australia",China
"1, 2, 4, 5",4
"Where is the headquarters of Kaspersky Lab, the popular cyber security and anti-virus provider, located?",Moscow
Scientific study of birds is called _______,Ornithology
Name the two Oceans in which Australia is sandwiched between?,The Indian Ocean and The Pacific Ocean
India has _____ states.,28
Which pigment is responsible for the green colour of leaves?,Stomach
A person who teaches us is known as___________?,Teacher
Who is Virat Kohli?,Indian Cricketer
Arachnophobia is the fear of dogs. True or False?,False (It is the fear of spiders)
Which planet is known as the Morning/Evening star?,Venus
How many days does earth take to revolve around the sun?,365 days
"2, 6, 7, 10",7
Which is the fastest snake in the world?,Black Mamba
How many days are there in a week?,Seven
The biggest sea animal is _.,Dolphin
In which season do we use cotton clothes?,Summer
A young frog is called a _______.,Tadpole
 Which state is known as the ‘fruit bowl’ of India?,Himachal Pradesh
A pediatrician is a child specialist. True or False?,TRUE
What comes after 10 and before 13?,12
Where do we get coconut from?,We get coconut from coconut Tree
Ganymede is the moon of which planet?,Jupiter
Which part of a plant has seeds?,Fruit
 What does the heart pump?,Blood
Which is known as the Father of modern medicine?,Hippocrates
Roman Calendar is named as Julian Calendar. True or False?,TRUE
Mt. Abu is located in?,India
 How many legs does a spider have?, Eight
In which year was the Battle of Plassey fought?,1757
Which country is the largest producer of Coffee?,Brazil
What is the capital of Norway?,Oslo
In which country Commonwealth games were held in 2010?,India
Where is the headquarters of European Union located?,"Brussels, Belgium"
What are the tiny pores present in plant leaves called?,Stomata
Goitre is caused by the deficiency of?,Arctic Ocean
______ is the hardest substance available on Earth.,Diamond
“Wings of Fire” is the autobiography of ______________,Dr. APJ Abdul Kalam
Which country is the first in Asia to launch a plastics pact?,India
Orange Prize is related to the field of ____________.,Literature
What do you call a person who makes furniture from wood?,Carpenter
What was the court language used by Mughals?,Persian
In how many hours does earth complete one rotation?,24 hours
Which fairy tale character meets seven dwarfs in a cottage?,Snow White
What is a polygon with five sides called?,Pentagon
Who was the first person to calculate the value of Pi?,Archimedes
Sunlight is the source of which vitamin?,Vitamin D
The egg of a Hummingbird is the smallest egg in the world. True or False?,TRUE
What do UPS stand for?,Uninterrupted Power Supply
How many days are there in a year?,365
Thomas Cup is related to which sport?,"Badminton
"
Young one of the horses is called?,Colt
Which is the national game of the USA?,Baseball
Which part of a plant grows under the soil?,Root
What kind of mosquito carries malaria?,Anopheles Mosquitoes
Which is the longest river in the world?,Nile
Which number comes after 15?,16
At which age Gautham Buddha got Nirvana?,35
The total distance between the Sun and the Earth is ___________,149.6 Million km
What is the color of your hair?,Black
Coco Islands are located in which sea?,Bay of Bengal
 Which river is infamous as the ‘Sorrow of Bengal”?,Damodar River
What is the square of 42?,1764
What is the sound made by a lion?,Roar
Which is the largest river island in Asia?,Majuli Island (Assam)
Which is the deepest oceanic trench in the world?,Mariana Trench
"Who wrote the famous play, “Romeo and Juliet”?",William Shakespeare
The tusks of elephants are made of ______.,Ivory
What is the currency of Pakistan?,Rupee
A triangle with all three sides equal is called _______.,Equilateral triangle
Where did the game of Badminton originate from?,Pune
What is the colour of polar bear’s skin?,Black
What is the shape of dice?,Cube
Earth requires ____ hours to complete one rotation.,24
What does green light of a traffic signal indicate?,Go
Which is the biggest planet in our Solar System?,Jupiter
"“B” in BRICS, an international organization, stands for?",Brazil
What is the SI unit of Force?,Newton
Name the continent with the highest population density?,Asia
What is the theme of World Hearing Day 2022?,"To hear for life, listen with care!"
Name a plant that grows in the desert?,Cactus
Who was known as Punjab Kesari?,Lala Lajpat Rai
In which year was South Asian Association for Regional Cooperation (SAARC) established?,1985
National Research Centre on Yak (NRCY) is located in which Indian state?,"Arunachal Pradesh
"
Who invented Java programming language?,James Gosling
_____ is the warmest sea on Earth.,Read Sea
Which country is known as the “Land of Cakes”?,Scotland
What makes up (approx ) 80% of our brain’s volume?,Water
How many hands do you have?,2
Name the five layers of Earth’s atmosphere.,"Exosphere, Thermosphere, Mesosphere, Stratosphere and Troposphere"
How many bananas will there be in a dozen banana? a) 8 b) 9 c) 10 d) 12,D.12
Who wrote the national song of India? (Vande Mataram),Bankim Chandra Chatterjee
Which is the tallest mountain in the world?,Mount Everest
An octagon has _____ sides.,8
Which planet is known as “The Blue Planet”? a) Mercury b) Venus c) Uranus d) Earth,D. Earth
Who invented World Wide Web (www)?,Tim Berners-Lee
Name the organ responsible for blood purification in human body,Kidney
Which is the largest river on Earth?,"Amazon river
"
Which country does famous footballer Lionel Messi belong to?,Argentina
Who was at the helm of the Philadelphia Phillies in the 2011 season?,Charlie Manuel
Which is the first element on the periodic table of elements?,Hydrogen
The sum of the angles of a triangle is _____.,180˚
Which month comes after October?,November
A triangle with all side equal is called_?,Equilateral triangle
Which is the largest delta in the world?,Sunderban delta (Ganges-Brahmaputra Delta)
A figure with 6 sides is known as ________.,Hexagon
Australia lies between which two oceans?,Indian Ocean and Pacific Ocean
Which river is nicknamed “Sorrow of China”?,Yellow River
Who was known as the Missile Man of India?,Dr. APJ Abdul Kalam
How many players are there in each side of a Hockey team?,11
We use our ears to _______.,Hear
What is a group of porcupines called?,Prickle
What does ‘Xylem’ in plants do?,Transport water
_ has Cricket as its National S,Jamaica
How many letters are there in the English alphabet?,26
In which city is the world’s largest port located?,Shanghai
World Homoeopathy Day is observed on ______,April 10
When is Teacher’s Day celebrated?,September 5th
How many degrees are there in a circle?,360
Which is the biggest animal in the world?,Antarctic Blue Whale
What is the full form of Wifi?,Wireless Fidelity
The term “LBW” is related to which sport?,Cricket
Which is the smallest bone in the human body?,Stapes (Ear bone)
Who is the 14th President of India?,Ram Nath Govind
Which is the largest country in terms of population?,China
 The national currency of India is,Rupee
Name the biggest flower.,Rafflesia
Who is the inventor of Radio?,Marconi
Which is the principal source of energy for earth?,Sun
What is COVID-19?,It is deadly disease spread across the world during 2019 and 2020.
"Jeep, Car, Bike, Boat",Boat
How many bones does an adult human have?,206
Which is the protein found in nails?,Keratin
How many months are there in a year?,12
Distance between two countries is measured in __________.,Kilometers
How many fundamental rights are mentioned in the Indian Constitution?,6
What is the currency of New Zealand?,Dollar
What is 10+4?,14
 How many spokes does the wheel in Indian Flag have?,24 spokes
Who invented the television?,John Logie Baird
Who painted Mona Lisa?,Leonardo Da Vinci
Trout and Carp are types of _________.,Fish/strong>
On which planet do we live?,Earth
"Cabbage, Potato, Capsicum, Tomato",Potato
What does the Internet prefix WWW stand for?,World Wide Web
The mixture consisting of molten rocks that flow out of a volcano during the volcanic eruption is called ________.,Lava
Richter Scale is used to measure _________,Magnitude of earthquakes
"Laika, the dog is the first animal to go to space. True or False?",TRUE
Who discovered Protons?,Rutherford
Which is the largest island in the world?,Greenland
Who discovered Penicillin in 1928?,Alexander Fleming
Which is the tallest animal on the earth?,Giraffe
What is the place where books are kept called? a) Zoo b) Library c) Garden d) Museum,B. Library
Which is the largest ocean in the world?,Pacific Ocean
5 times 20 equals to ______.,1000
What is the currency of Russia?,Ruble
How many noses do you have?,One
